こうそく	🛣
こうそくかぼたん	⏬
こうそくじょうぼたん	⏫
こうそくどうろ	🛣
こうちゃ	☕
こうでんあつ	⚡
こうもり	🦇
こうよう	🍁
こうれいしゃ	🧓
こおり	🧊
こおろぎ	🦗
こがたき	🛩
こがたひこうき	🛩
こき	📞
こくさいれんごう	🇺🇳
こくりつこうえん	🏞
ここ	🈁
ここすしょとう	🇨🇨
ここなっつ	🥥
ここなつ	🥥
ここのまーく	🈁
こごえ	🥶
こしかけ	🪑
こすたりか	🇨🇷
こぜにいれ	👛
こそぼ	🇽🇰
こっかく	🦴
こっき	🇿🇼
こっく	👩‍🍳
こっぷ	🥤
こつつぼ	⚱
こづつみ	📦
こていでんわ	☎
こども	🧒
こどものひ	🎏
このは	🍃
こぴーき	🖨
こぴーらいと	©
こぶし	🤜
こま	♟
こまった	🙁
こまったかお	☹
こもじ	🔡
こもろ	🇰🇲
ころっけ	🧆
ころんびあ	🇰🇭
こんがん	🥺
こんごきょうわこく	🇨🇬
こんごみんしゅきょうわこく	🇨🇩
こんせんと	🔌
こんとろーら	🕹
こんとろーる	🎛
こんとろーるつまみ	🎛
こんぱす	🧭
こんびに	🏪
こんびにえんすすとあ	🏪
こんぴゅーた	👩‍💻
こんぴゅーたー	🖲
こんらん	😖
こんわく	😖
こんわくしたかお	😖
こんわくした	😖
こーと	🧥
こーとじぼわーる	🇨🇮
こーひー	☕
こーん	🌽
ごう	🈴
ごうい	🤝
ごうかく	🈴
ごうきゅう	😭
ごうまーく	🈴
ごくひ	㊙
ごしゅうぎ	🧧
ごせんふ	🎼
ごはん	🍚
ごみ	🚯
ごみかご	🗑
ごみすてて	🚮
ごみすててきんし	🚯
ごみばこ	🚮
ごめんなさい	🙏
ごらいこう	🌄
ごりら	🦍
ごるふ	🚩
ごるふぁー	🏌‍♂
ごるふをするおとこ	🏌‍♂
ごるふをするおんな	🏌‍♀
ごるふをするひと	🏌
ごんどら	🚡
ごーぐる	🥽
ごーすと	👻
ごーる	🥍
ごーるど	🥇
ごーるねっと	🥅
さい	🦏
さいえんす	🔭
さいきん	🦠
さいくつ	⛏
さいくりんぐ	🚵‍♂
さいくろん	🌀
さいころ	🎲
さいせい	♻
さいせいぼたん	▶
さいたはな	🌼
さいばん	👩‍⚖
さいばんかん	👩‍⚖
さいふ	👛
さいほう	🧵
さいりよう	♻
さいん	🚧
さうじあらびあ	🇸🇦
さうな	🧖‍♂
さうなにはいるおとこ	🧖‍♂
さうなにはいるおんな	🧖‍♀
さうなにはいるひと	🧖
さかさま	🙃
さかさまのかお	🙃
さかな	🦈
さかなをたべる	🦦
さきそふぉん	🎷
さくそふぉん	🎷
さくら	🌸
さくらんぼ	🍒
さけ	🍶
さけび	😱
さそり	🦂
さそりざ	♏
さっかー	⚽
さっかーぼーる	⚽
さっくす	🎷
さつたば	💸
さつまいも	🍠
さのまーく	🈂
さばく	🏜
さぼてん	🏜
さぼてんのあるさばく	🏜
さむいかお	🥶
さむい	🥶
さむさ	🥶
さむずあっぷ	👍
さむずだうん	👎
さめ	🦈
さもあ	🇼🇸
さゆう	↔
さゆうやじるし	↔
さら	🍽
さらだ	🥗
さらりーまん	👩‍💼
さりー	🥻
さる	🦧
さるのかお	🐵
さるまーく	🈸
さんえん	🙊
さんかく	🔻
さんかくじょうぎ	📐
さんかくのはた	🚩
さんがく	⛰
さんぐらす	🕶
さんぐらすでえがお	😎
さんた	🎅
さんたくろーす	🤶
さんだる	👡
さんどいっち	🥪
さんぱつされるおとこ	💇‍♂
さんぱつされるおんな	💇‍♀
さんぱつされるひと	💇
さんまりの	🇸🇲
さんりんたくしー	🛺
さーかす	🎪
さーびす	🐕‍🦺
さーびすりょう	🈂
さーふぁー	🏄‍♂
さーふぃん	🏄
さーふぃんするおとこ	🏄‍♂
さーふぃんするおんな	🏄‍♀
さーふぃんするひと	🏄
ざせき	💺
ざりがに	🦞
ざんびあ	🇿🇲
しぇふ	👩‍🍳
しえられおね	🇸🇱
しお	🧂
しおふき	🐳
しおふきくじら	🐳
しおり	🔖
しおれた	🥀
しおれたはな	🥀
しか	🦌
しかく	🦯
しかくぼたん	🔳
しかめがお	🙍‍♂
しかめっつら	🙍‍♂
しかめめん	🙍
しかめめんのおとこ	🙍‍♂
しかめめんのおんな	🙍‍♀
しかめめんのひと	🙍
しきじょう	💒
しけんかん	🧪
しごせん	🌐
しごせんのあるちきゅう	🌐
ししざ	♌
しじょう	💹
しずかに	🤫
しずく	💧
しせき	🏛
しぜん	🏞
した	🤑
したぎ	🩳
したむき	📉
したをだしたかお	😛
したをだした	😛
しちめんちょう	🦃
しちゅー	🍲
しっ	🤫
しっくい	🧱
しつぼうしたかお	😞
しつぼうした	😞
しつれん	💔
していせき	🈯
しなごーぐ	🕍
しま	🏝
しまうま	🦓
しましま	🦓
しもかーぶやじるし	⤵
しもぼたん	🔽
しもやけ	🥶
しもやじるし	⬇
しもゆびさし	👇
しゃがいひ	㊙
しゃしゅ	🏹
しゃしん	📸
しゃっふる	🔀
しゃっふるぼたん	🔀
しゃつ	👚
しゃとる	🏸
しゃべる	🦜
しゃりょうしんにゅうきんし	⛔
しゃりょうつうこうどめ	🚫
しゃわー	🚿
しゃんぱん	🥂
しゃんぷー	🧴
しゃんぺん	🥂
しゅうかく	🧺
しゅうきょう	🛕
しゅえい	💂‍♂
しゅく	㊗
しゅくじつ	🎌
